Resource Name	Resource Description	Data Description	Association	Attribute	Attribute Class	Number of Genes	Number of Attributes	Resource URL	Data URL	Readme URL	Download Date	PMID	Citation	Notes	Directory	Attribute Table	Edge List	Gene-set Library	Attribute-set Library	Gene Similarity Matrix	Attribute Similarity Matrix	Gene List	Attribute List	Script
GWAS Catalog	The GWAS Catalog is a collection of significant SNP-phenotype associations manually curated from published GWA Studies.	SNP-phenotype association p-values (less than 1e-5) curated from published GWAS	gene-phenotype associations by manual GWAS curation	phenotype	phenotype	notspecified	notspecified	http://www.ebi.ac.uk/gwas/home	http://www.ebi.ac.uk/gwas/api/search/downloads/full	http://www.ebi.ac.uk/gwas/docs/fileheaders	notspecified	24316577	Welter, D., MacArthur, J., Morales, J., Burdett, T., Hall, P., Junkins, H., Klemm, A., Flicek, P., Manolio, T., Hindorff, L. and H. Parkinson. (2014) The NHGRI GWAS Catalog, a curated resource of SNP-trait associations. Nucleic Acids Res. 42:D1001-D1006.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
HuGE Navigator	HuGE Navigator is a database of gene-phenotype associations extracted from published GWA studies by automated text-mining.	gene-phenotype associations extracted from published GWA studies by automated text-mining	gene-phenotype associations by automated GWAS curation	phenotype	phenotype	notspecified	notspecified	http://www.hugenavigator.net/HuGENavigator/home.do	see notes	http://www.hugenavigator.net/HuGENavigator/downloadCenter.do	notspecified	18227866	Yu, W., Gwinn, M., Clyne, M., Yesupriya, A. and M. J. Khoury. (2008) A navigator for human genome epidemiology. Nat Genet. 40:124-125.	must complete form at download page to download file	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Genetic Association Database (GAD)	The Genetic Association Database is a collection of data from published genetic association studies, where data and metadata reported in individual studies have been reorganized into a standard format.	positive and negative gene-phenotype associations curated from genetic association studies	gene-phenotype associations curated from genetic association studies	phenotype	phenotype	notspecified	notspecified	http://geneticassociationdb.nih.gov/	http://geneticassociationdb.nih.gov/data.zip	notspecified	notspecified	15118671	Becker, K. G., Barnes, K. C., Bright, T. J. and S. A. Wang. (2004) The genetic association database. Nat Genet. 36:431-432.	must separate negative associations from positive associations	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
GWASdb	GWASdb is a database of SNP-phenotype associations manually curated from published GWA Studies with phenotypes mapped to the Disease Ontology and Human Phenotype Ontology.	SNP-phenotype association p-values (less than 1e-3) curated from published GWAS	gene-phenotype associations by manual GWAS curation	phenotype	phenotype	notspecified	notspecified	http://jjwanglab.org/gwasdb	ftp://jjwanglab.org/GWASdb/gwasdb_20140908_snp_trait.gz;ftp://jjwanglab.org/GWASdb/gwasdb_20140908_annotation.gz	http://jjwanglab.org/gwasdb/gwasdb2/gwasdb2/download	notspecified	22139925	Li, M. J., Wang, P., Liu, X., Lim, E. L., Wang, Z., Yeager, M., Wong, M. P., Sham, P. C., Chanock, S. J. and J. Wang. (2012) GWASdb: a database for human genetic variants identified by genome-wide association studies. Nucleic Acids Res. 40:D1047-D1054.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
SNPedia	SNPedia is a wiki of information about SNPs.  Many users contribute and curate the content on SNPedia, which draws SNP information from individual genetic association studies and from databases such as OMIM and ClinVar.	SNP-phenotype associations curated by SNPedia users from various sources	gene-phenotype associations by crowd-sourced curation	phenotype	phenotype	notspecified	notspecified	http://snpedia.com/index.php/SNPedia	see notes	http://snpedia.com/index.php/Bulk	notspecified	22140107	Cariaso, M. and G. Lennon. (2012) SNPedia: a wiki supporting personal genome annotation, interpretation and analysis. Nucleic Acids Res. 40:D1308-D1312.	data downloaded using the SNPedia api	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
ClinVar	ClinVar is a collection of reports of associations between genetic variants documented in dbSNP or dbVar and clinically relevant phenotypes.  Each entry reports an association, its supporting evidence, and other annotations.  Data are collected from clinical tests, research studies, and literature curation.  Only GWAS that have been reviewed and annotated with information about clinical relevance are included. Phenotypes are mapped to MedGen concepts.	SNP-phenotype associations curated by ClinVar users from various sources	gene-phenotype associations by crowd-sourced curation	phenotype	phenotype	notspecified	notspecified	http://www.ncbi.nlm.nih.gov/clinvar/	ftp://ftp.ncbi.nlm.nih.gov/pub/clinvar/vcf_GRCh38/clinvar.vcf.gz	ftp://ftp.ncbi.nlm.nih.gov/pub/clinvar/README.txt;http://www.ncbi.nlm.nih.gov/variation/docs/human_variation_vcf/#clinvar	notspecified	24234437	Landrum, M. J., Lee, J. M., Riley, G. R., Jang, W., Rubinstein, W. S., Church, D. M. and D. R. Maglott. (2014) ClinVar: public archive of relationships among sequence variation and human phenotype. Nucleic Acids Res. 42:D980:D985.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
CMAP	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified
CORUM	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified
GEO Drug Perts	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified
ENCODE Histone Modifications	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified
Epigenomics Roadmap Histone Modifications	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified
ESCAPE	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified
GeneSigDB	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified
Genome Browser PWMs	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified
HMDB Metabolites	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified
Human Gene Atlas	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified
Kinase Perts from GEO	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified
Mouse Gene Atlas	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified
MSigDB Computational	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified
MSigDB Oncogenic Signatures	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified
NCI-60 Cancer Cell Lines	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified
Phosphatase Substrates from DEPOD	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified
PPI Hub Proteins	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified
TargetScan microRnotspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified
TF-LOF Expression from GEO	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified
Transfac PWMs	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified
Jaspar PWMs	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified
Virus Perturbations from GEO	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified
Virus MINT	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified	notspecified
